CITY,STATE_NAME,COUNTRY_NAME,Local,latitude,longitude
Abingdon,England,United Kingdom,"Abingdon, England, United Kingdom",51.6714842,-1.2779715
Albany,Oregon,United States,"Albany, Oregon, United States",44.6365071,-123.1059324
Alhambra,California,United States,"Alhambra, California, United States",34.093042,-118.12706
Arlington,Texas,United States,"Arlington, Texas, United States",32.7355816,-97.1071186
Atlanta,Georgia,United States,"Atlanta, Georgia, United States",33.7544657,-84.3898151
Auburn,California,United States,"Auburn, California, United States",38.8945939,-121.0739897
Augsburg,Bayern,Germany,"Augsburg, Bayern, Germany",48.3690341,10.8979522
Augsburg,Hamburg,Germany,"Augsburg, Hamburg, Germany",53.55109,9.99368
Augusta,Georgia,United States,"Augusta, Georgia, United States",33.4709714,-81.9748429
Aurora,Ontario,Canada,"Aurora, Ontario, Canada",43.99973,-79.467545
Austell,Georgia,United States,"Austell, Georgia, United States",33.8126059,-84.6343783
Austin,Texas,United States,"Austin, Texas, United States",30.2711286,-97.7436995
Bad Soden,Hessen,Germany,"Bad Soden, Hessen, Germany",50.1517006,8.4899671
Baldwin Park,California,United States,"Baldwin Park, California, United States",34.0854739,-117.9611761
Ballard,Washington,United States,"Ballard, Washington, United States",47.6765073,-122.3862233
Baltimore,Maryland,United States,"Baltimore, Maryland, United States",39.2908816,-76.610759
Barrie,Ontario,Canada,"Barrie, Ontario, Canada",44.3893208,-79.6901302
Barstow,California,United States,"Barstow, California, United States",34.8986215,-117.0244313
Basingstoke Hants,England,United Kingdom,"Basingstoke Hants, England, United Kingdom",51.2667,-1.0876
Baytown,Texas,United States,"Baytown, Texas, United States",29.7355047,-94.9774274
Beaverton,Oregon,United States,"Beaverton, Oregon, United States",45.4871723,-122.80378
Bell Gardens,California,United States,"Bell Gardens, California, United States",33.9694561,-118.1503953
Bellevue,Washington,United States,"Bellevue, Washington, United States",47.6144219,-122.192337
Bellflower,California,United States,"Bellflower, California, United States",33.8825705,-118.1167679
Bellingham,Washington,United States,"Bellingham, Washington, United States",48.7544012,-122.478836
Bendigo,Victoria,Australia,"Bendigo, Victoria, Australia",-36.7590183,144.2826718
Berkeley,California,United States,"Berkeley, California, United States",37.8708393,-122.272863
Berks,England,United Kingdom,"Berks, England, United Kingdom",51.4534889,-1.031873
Berkshire,England,United Kingdom,"Berkshire, England, United Kingdom",51.4534889,-1.031873
Berlin,Brandenburg,Germany,"Berlin, Brandenburg, Germany",52.520008,13.404954
Berlin,Hamburg,Germany,"Berlin, Hamburg, Germany",53.5534401,10.0260449
Berlin,Hessen,Germany,"Berlin, Hessen, Germany",50.5654225,9.6929957
Berlin,Nordrhein-Westfalen,Germany,"Berlin, Nordrhein-Westfalen, Germany",52.0267233,8.5345821
Berlin,Saarland,Germany,"Berlin, Saarland, Germany",49.2397779,6.9707674
Beverly Hills,California,United States,"Beverly Hills, California, United States",34.0696501,-118.3963062
